Table: 																						
Location	xpos	ypos	The Old Forest	Mirkwood	Moria	Dale	Dol Guldur	Rivendell	Isengard	Beorn's House	Gladden Fields	Barad-Dur	Michel Delving	Osgiliath	Minas Tirith	The Grey Havens	Hollin	Prancing Pony	Edoras	The Black Gate	Bucklebury	Dunharrow
The Old Forest	0.00219138	16.8306	0	14.3006	18.0297	14.7986	18.2364	13.5744	14.5468	17.2195	16.6757	7.59199	17.4918	17.0318	19.3068	14.8876	16.4851	15.2743	13.9417	7.84057	17.8612	22.7404
Mirkwood	11.5695	8.42204	14.3006	0	7.50572	2.3077	6.8458	5.14392	1.67174	3.40142	7.25086	11.1226	6.58657	10.33	5.42935	7.88779	9.31131	5.99657	5.23201	6.48216	6.51104	8.5206
Moria	9.17483	1.30857	18.0297	7.50572	0	9.6414	1.10522	4.50109	9.07206	9.09287	1.51238	17.502	13.4294	4.33331	9.94602	3.86366	16.7065	13.388	12.7338	11.0333	13.1677	8.37392
Dale	13.1725	10.0821	14.7986	2.3077	9.6414	0	8.87937	7.42477	0.643233	2.5194	9.50794	10.41	4.33219	12.6334	4.53391	10.1921	7.07223	3.74971	3.22331	7.30094	4.32034	8.90432
Dol Guldur	10.203	1.71401	18.2364	6.8458	1.10522	8.87937	0	4.67157	8.33952	8.14274	2.32349	17.2385	12.5213	5.42213	8.89671	4.66274	15.9099	12.6052	12.0328	10.9854	12.2364	7.31058
Rivendell	7.38058	5.43658	13.5744	5.14392	4.50109	7.42477	4.67157	0	6.78154	8.11661	3.32543	13.2793	11.7303	5.49888	9.77515	2.85139	14.1963	10.9568	9.94804	6.59396	11.647	10.5868
Isengard	12.6703	9.68019	14.5468	1.67174	9.07206	0.643233	8.33952	6.78154	0	2.67322	8.8977	10.4824	4.97006	12.0015	4.76418	9.55105	7.66663	4.34494	3.70107	6.93417	4.94365	8.81916
Beorn's House	14.9693	8.31605	17.2195	3.40142	9.09287	2.5194	8.14274	8.11661	2.67322	0	9.36049	12.8884	4.42215	12.7225	2.10567	10.5937	8.15838	5.10002	5.19022	9.56538	4.09994	6.52776
Gladden Fields	7.92183	2.15549	16.6757	7.25086	1.51238	9.50794	2.32349	3.32543	8.8977	9.36049	0	16.57	13.5416	3.42314	10.492	2.36709	16.5605	13.2416	12.4478	9.9183	13.3368	9.56965
Barad-Dur	7.35638	18.7158	7.59199	11.1226	17.502	10.41	17.2385	13.2793	10.4824	12.8884	16.57	0	11.4985	18.3569	14.7136	15.7009	9.42938	9.21124	8.18666	6.92463	11.9831	19.2963
Michel Delving	16.8961	12.2964	17.4918	6.58657	13.4294	4.33219	12.5213	11.7303	4.97006	4.42215	13.5416	11.4985	0	16.7992	4.7564	14.4518	4.05841	2.29725	3.5511	10.8002	0.557083	10.0192
Osgiliath	4.91346	0.522219	17.0318	10.33	4.33331	12.6334	5.42213	5.49888	12.0015	12.7225	3.42314	18.3569	16.7992	0	13.9129	2.70761	19.5901	16.3023	15.3792	11.4453	16.6293	12.7013
Minas Tirith	16.9267	7.54006	19.3068	5.42935	9.94602	4.53391	8.89671	9.77515	4.76418	2.10567	10.492	14.7136	4.7564	13.9129	0	12.0272	8.80466	6.21846	6.7004	11.671	4.26016	5.27544
The Grey Havens	5.75017	3.09731	14.8876	7.88779	3.86366	10.1921	4.66274	2.85139	9.55105	10.5937	2.36709	15.7009	14.4518	2.70761	12.0272	0	17.0387	13.784	12.7964	8.81533	14.33	11.7677
Hollin	16.4798	16.3334	16.4851	9.31131	16.7065	7.07223	15.9099	14.1963	7.66663	8.15838	16.5605	9.42938	4.05841	19.5901	8.80466	17.0387	0	3.32299	4.26845	11.2821	4.58602	14.0749
Prancing Pony	14.8898	13.4155	15.2743	5.99657	13.388	3.74971	12.6052	10.9568	4.34494	5.10002	13.2416	9.21124	2.29725	16.3023	6.21846	13.784	3.32299	0	1.40859	8.91568	2.77199	11.4207
Edoras	13.4868	13.2901	13.9417	5.23201	12.7338	3.22331	12.0328	9.94804	3.70107	5.19022	12.4478	8.18666	3.5511	15.3792	6.7004	12.7964	4.26845	1.40859	0	7.51258	3.94617	11.7015
The Black Gate	6.10293	11.9056	7.84057	6.48216	11.0333	7.30094	10.9854	6.59396	6.93417	9.56538	9.9183	6.92463	10.8002	11.4453	11.671	8.81533	11.2821	8.91568	7.51258	0	11.0364	14.9011
Bucklebury	17.1388	11.7949	17.8612	6.51104	13.1677	4.32034	12.2364	11.647	4.94365	4.09994	13.3368	11.9831	0.557083	16.6293	4.26016	14.33	4.58602	2.77199	3.94617	11.0364	0	9.50662
Dunharrow	17.4905	2.29483	22.7404	8.5206	8.37392	8.90432	7.31058	10.5868	8.81916	6.52776	9.56965	19.2963	10.0192	12.7013	5.27544	11.7677	14.0749	11.4207	11.7015	14.9011	9.50662	0
																						
																						
first run (3):	12.7013	19.2963	13.2793	5.49888	50.77578																	
